net,length_um
bgc_15.lfsr_row.seed_mem\[5\],82.98
bgc_4.lfsr_row.seed_mem\[2\],82.98
bgc_7.prev_step_output\[0\],82.98
adder_tree._0220_,82.93
bgc_2.col_reg.q\[1\],82.93
clknet_leaf_93_clk,82.93
adder_tree.r\[6\]\[6\],82.57
bgc_1.lfsr_col.seed_mem\[2\],82.42
bgc_8.comp_row.B\[6\],81.96
bgc_10.comp_row.B\[10\],81.91
bgc_5.lfsr_col.seed_mem\[3\],81.91
bgc_6.lfsr_col.seed_mem\[7\],81.86
bgc_1.lfsr_row.seed_mem\[2\],81.81
bgc_4.lfsr_col.seed_mem\[3\],81.76
adder_tree._0376_,81.66
bgc_2.lfsr_row.seed_mem\[4\],81.35
bgc_13.prev_step_output\[1\],81.3
bgc_1.lfsr_col.seed_mem\[5\],81.25
bgc_6.col_reg.q\[2\],81.25
bgc_7.lfsr_row.seed_mem\[5\],81.25
bgc_11.lfsr_col.seed_mem\[2\],80.89
bgc_3.col_reg.q\[5\],80.84
clknet_leaf_0_clk,80.79
bgc_15.lfsr_col.seed_mem\[1\],80.79
bgc_2.lfsr_col.seed_mem\[4\],80.74
bgc_7.comp_row.B\[7\],80.74
bgc_8.lfsr_col.seed_mem\[10\],80.74
bgc_9.lfsr_row.seed_mem\[9\],80.74
bgc_10.lfsr_row.seed_mem\[7\],80.69
