seed_index,seed_hex,B=512_count,B=512_expected,B=512_abs_error,B=1024_count,B=1024_expected,B=1024_abs_error,B=1536_count,B=1536_expected,B=1536_abs_error,B=2048_count,B=2048_expected,B=2048_abs_error,B=2560_count,B=2560_expected,B=2560_abs_error,B=3072_count,B=3072_expected,B=3072_abs_error,B=3584_count,B=3584_expected,B=3584_abs_error,mean_abs_error,mean_rel_error_pct
120,0x421,52,62.6221,10.6221,120,125.122,5.12207,185,187.622,2.62207,251,250.122,0.87793,319,312.622,6.37793,381,375.122,5.87793,447,437.622,9.37793,5.8397,4.0792
121,0x358,84,62.6221,21.3779,145,125.122,19.8779,200,187.622,12.3779,264,250.122,13.8779,326,312.622,13.3779,383,375.122,7.87793,447,437.622,9.37793,14.0208,10.099
122,0x113,53,62.6221,9.62207,116,125.122,9.12207,179,187.622,8.62207,246,250.122,4.12207,308,312.622,4.62207,375,375.122,0.12207,442,437.622,4.37793,5.80148,4.48725
123,0xe31,42,62.6221,20.6221,105,125.122,20.1221,170,187.622,17.6221,239,250.122,11.1221,302,312.622,10.6221,373,375.122,2.12207,442,437.622,4.37793,12.3729,9.68796
124,0x591,59,62.6221,3.62207,123,125.122,2.12207,187,187.622,0.62207,248,250.122,2.12207,312,312.622,0.62207,372,375.122,3.12207,432,437.622,5.62207,2.55064,1.56799
125,0x570,59,62.6221,3.62207,123,125.122,2.12207,187,187.622,0.62207,248,250.122,2.12207,312,312.622,0.62207,372,375.122,3.12207,432,437.622,5.62207,2.55064,1.56799
126,0x7e9,58,62.6221,4.62207,121,125.122,4.12207,184,187.622,3.62207,247,250.122,3.12207,310,312.622,2.62207,373,375.122,2.12207,436,437.622,1.62207,3.12207,2.23274
127,0xd66,98,62.6221,35.3779,156,125.122,30.8779,218,187.622,30.3779,270,250.122,19.8779,328,312.622,15.3779,384,375.122,8.87793,436,437.622,1.62207,20.3414,16.1382
128,0xd7c,60,62.6221,2.62207,123,125.122,2.12207,183,187.622,4.62207,243,250.122,7.12207,306,312.622,6.62207,363,375.122,12.1221,424,437.622,13.6221,6.97921,2.80808
129,0xec6,96,62.6221,33.3779,153,125.122,27.8779,215,187.622,27.3779,268,250.122,17.8779,326,312.622,13.3779,384,375.122,8.87793,437,437.622,0.62207,18.4842,14.8727
130,0x619,100,62.6221,37.3779,163,125.122,37.8779,220,187.622,32.3779,277,250.122,26.8779,341,312.622,28.3779,391,375.122,15.8779,447,437.622,9.37793,26.8779,19.0596
131,0xcc2,59,62.6221,3.62207,123,125.122,2.12207,187,187.622,0.62207,249,250.122,1.12207,313,312.622,0.37793,375,375.122,0.12207,437,437.622,0.62207,1.23005,1.22225
