Seed(Dec),Seed(Hex),Average Error,Absolute Highest Error
900,12'h384,0.8438,1
901,12'h385,0.3750,1
902,12'h386,0.6250,1
903,12'h387,0.1250,1
904,12'h388,0.9375,1
905,12'h389,0.4062,1
906,12'h38A,0.6875,1
907,12'h38B,0.1875,1
908,12'h38C,0.8125,1
909,12'h38D,0.3125,1
910,12'h38E,0.5625,1
911,12'h38F,0.0625,1
912,12'h390,0.9688,1
913,12'h391,0.4688,1
914,12'h392,0.7188,1
915,12'h393,0.2188,1
916,12'h394,0.8438,1
917,12'h395,0.3438,1
918,12'h396,0.5625,1
919,12'h397,0.0938,1
920,12'h398,0.9062,1
921,12'h399,0.4062,1
922,12'h39A,0.6562,1
923,12'h39B,0.1562,1
924,12'h39C,0.7812,1
925,12'h39D,0.2812,1
926,12'h39E,0.5312,1
927,12'h39F,0.0312,1
